,Cities,lat,lon,temp_K,temp_C
0, Mont Saint Michel,48.6359541,-1.511459954959514,276.98,3.980000000000018
1, St Malo,48.649518,-2.0260409,276.86,3.8600000000000136
2, Bayeux,49.2764624,-0.7024738,278.19,5.189999999999998
3, Le Havre,49.4938975,0.1079732,275.3,2.3000000000000114
4, Rouen,49.4404591,1.0939658,274.74,1.740000000000009
5, Paris,48.8588897,2.3200410217200766,275.08,2.079999999999984
6, Amiens,49.8941708,2.2956951,273.35,0.35000000000002274
7, Lille,50.6365654,3.0635282,273.65,0.6499999999999773
8, Strasbourg,48.584614,7.7507127,269.36,-3.6399999999999864
9, Chateau du Haut Koenigsbourg,48.2495226,7.3454923,265.27,-7.730000000000018
10, Colmar,48.0777517,7.3579641,268.42,-4.579999999999984
11, Eguisheim,48.0447968,7.3079618,268.38,-4.6200000000000045
12, Besancon,47.2380222,6.0243622,269.92,-3.079999999999984
13, Dijon,47.3215806,5.0414701,270.79,-2.2099999999999795
14, Annecy,45.8992348,6.1288847,269.15,-3.8500000000000227
15, Lyon,45.7578137,4.8320114,271.09,-1.910000000000025
16, Grenoble,45.1875602,5.7357819,271.19,-1.8100000000000023
