,Cities
0, Mont Saint Michel
1, St Malo
2, Bayeux
3, Le Havre
4, Rouen
5, Paris
6, Amiens
7, Lille
8, Strasbourg
9, Chateau du Haut Koenigsbourg
10, Colmar
11, Eguisheim
12, Besancon
13, Dijon
14, Annecy
15, Lyon
16, Grenoble
17, Verdon Gorge
18, Bormes les Mimosas
19, Cassis
20, Marseille
21, Aix en Provence
22, Avignon 
23, Uzès
24, Nimmes
25, Aigues Mortes
26, Saintes Maries de la Mer
27, Collioure
28, Carcassonne
29, Ariege
30, Toulouse
31, Montauban
32, Biarritz
33, Bayonne
34, La Rochelle
